Date,Open,High,Low,Close,Volume
12/26/2017,267.049988,267.440002,266.890015,267.190002,45244400
12/27/2017,267.380005,267.730011,267.01001,267.320007,57751000
12/28/2017,267.890015,267.920013,267.450012,267.869995,45116100
12/29/2017,268.529999,268.549988,266.640015,266.859985,96007400
1/2/2018,267.839996,268.809998,267.399994,268.769989,86655700
1/3/2018,268.959991,270.640015,268.959991,270.470001,90070400
1/4/2018,271.200012,272.160004,270.540009,271.609985,80636400
1/5/2018,272.51001,273.559998,271.950012,273.420013,83524000
1/8/2018,273.309998,274.100006,272.980011,273.920013,57319200
1/9/2018,274.399994,275.25,274.079987,274.540009,57254000
1/10/2018,273.679993,274.420013,272.920013,274.119995,69574300
1/11/2018,274.75,276.119995,274.559998,276.119995,62361500
1/12/2018,276.420013,278.109985,276.079987,277.920013,90816100
1/16/2018,279.350006,280.089996,276.179993,276.970001,106555100
1/17/2018,278.029999,280.049988,276.970001,279.609985,113258800
1/18/2018,279.480011,279.959991,278.579987,279.140015,100728000
1/19/2018,279.799988,280.410004,279.140015,280.410004,140920100
1/22/2018,280.170013,282.690002,280.109985,282.690002,91322400
1/23/2018,282.73999,283.619995,282.369995,283.290009,97084700
1/24/2018,284.019989,284.700012,281.839996,283.179993,134816100
1/25/2018,284.160004,284.269989,282.399994,283.299988,84587300
1/26/2018,284.25,286.630005,283.959991,286.579987,107743100
1/29/2018,285.929993,286.429993,284.5,284.679993,90118300
1/30/2018,282.600006,284.73999,281.220001,281.76001,131796400
1/31/2018,282.730011,283.299988,280.679993,281.899994,108364800
2/1/2018,281.070007,283.059998,280.679993,281.579987,90102500
2/2/2018,280.079987,280.230011,275.410004,275.450012,173174800
2/5/2018,273.450012,275.850006,263.309998,263.929993,294681800
2/6/2018,259.940002,269.700012,258.700012,269.130005,355026800
2/7/2018,268.5,272.359985,267.579987,267.670013,167376100
2/8/2018,268.01001,268.170013,257.589996,257.630005,246449500
2/9/2018,260.799988,263.609985,252.919998,261.5,283565300
2/12/2018,263.829987,267.01001,261.660004,265.339996,143736000
2/13/2018,263.970001,266.619995,263.309998,266,81223600
2/14/2018,264.309998,270,264.299988,269.589996,120735700
2/15/2018,271.570007,273.040009,268.769989,273.029999,111200300
2/16/2018,272.320007,275.320007,272.269989,273.109985,160420100
2/20/2018,272.029999,273.670013,270.5,271.399994,86369700
